COD_CARD	PRODUCT
0460501091622	milk
0460501091622	beer
0460501091622	biscuits
0460501093176	rice
0460501093176	biscuits
0460501093527	frozen vegetables
0460501093527	tomato souce
0460501093527	milk
0460501093527	brioches
0460501093527	biscuits
0460501093732	water
0460501093732	water
0460501093732	frozen vegetables
0460501093732	milk
0460501094807	frozen vegetables
0460501094807	beer
0460501094807	milk
0460501094807	milk
0460501094807	milk
0460501094807	juices
0460501094807	pasta
0460501094807	pasta
0460501094807	pasta
0460501094869	water
0460501094869	coffee
0460501095095	frozen vegetables
0460501095095	pasta
0460501095095	water
0460501095521	coke
0460501095521	biscuits
0460501095521	biscuits
0460501095521	crackers
0460501095835	crackers
0460501095835	coffee
0460501095835	biscuits
0460501096139	coffee
0460501096139	pasta
0460501096139	pasta
0460501097297	pasta
0460501097297	tomato souce
0460501097297	biscuits
0460501097303	coke
0460501097303	pasta
0460501097624	milk
0460501097624	tomato souce
0460501097624	yoghurt
0460501097624	yoghurt
0460501097624	biscuits
0460501099475	pasta
0460501099475	pasta
0460501099475	juices
0460501099710	milk
0460501099710	milk
0460501099710	tomato souce
0460503032401	water
0460503032401	milk
0460503032401	milk
0460503032401	pasta
0460516011585	beer
0460516011585	coke
0460516011585	frozen fish
0460516011585	beer
0460516011585	pasta
0460516032122	milk
0460526014958	milk
0460526014958	biscuits
0460539003956	yoghurt
0460539008470	coke
0460539008470	yoghurt
0460539008470	milk
0460539008470	milk
0460202017150	frozen vegetables
0460202017150	beer
0460202017150	milk
0460202031552	water
0460202031552	biscuits
0460501000372	milk
0460501000709	water
0460501000709	coke
0460501000709	milk
0460501000709	pasta
0460501000709	pasta
0460501000709	pasta
0460501000709	pasta
0460501000709	pasta
0460501000709	tomato souce
0460501000709	oil
0460501000709	pasta
0460501000969	milk
0460501000969	coffee
0460501000969	pasta
0460501000969	beer
0460501002000	coke
0460501002000	pasta
0460501002000	pasta
0460501002024	yoghurt
0460501002024	yoghurt
0460501002024	pasta
0460501002024	pasta
0460501002024	biscuits
0460501002352	pasta
0460501002499	pasta
0460501002499	milk
0460501002529	water
0460501002529	milk
0460501002529	milk
0460501002529	pasta
0460501002529	pasta
0460501002529	pasta
0460501003403	biscuits
0460501004059	water
0460501004059	milk
0460501004059	coffee
0460501004059	pasta
0460501004196	pasta
0460501004233	milk
0460501004233	rice
0460501004233	pasta
0460501004622	milk
0460501005063	oil
0460501005094	ice cream
0460501005094	juices
0460501005094	juices
0460501005094	milk
0460501005469	milk
0460501005469	juices
0460501005469	pasta
0460501005469	pasta
0460501005469	pasta
0460501005469	water
0460501005476	milk
0460501005476	tomato souce
0460501005810	milk
0460501005940	pasta
0460501005940	pasta
0460501006053	milk
0460501006053	brioches
0460501006503	tomato souce
0460501006503	milk
0460501006510	frozen vegetables
0460501006510	frozen vegetables
0460501006510	frozen vegetables
0460501006510	mozzarella
0460501006572	water
0460501006572	milk
0460501006572	milk
0460501006572	pasta
0460501006572	water
0460501007166	rice
0460501007166	pasta
0460501007166	pasta
0460501007166	pasta
0460501007166	biscuits
0460501007807	water
0460501007807	coke
0460501007807	milk
0460501007807	juices
0460501007807	milk
0460501008064	milk
0460501008552	water
0460501008552	milk
0460501008552	milk
0460501008552	crackers
0460501008552	crackers
0460501008552	biscuits
0460501008552	biscuits
0460501008552	biscuits
0460501009238	water
0460501009238	water
0460501009238	milk
0460501009238	pasta
0460501009313	milk
0460501009542	water
0460501010128	water
0460501010470	frozen vegetables
0460501010470	frozen vegetables
0460501010500	milk
0460501010500	coffee
0460501010951	milk
0460501011217	tomato souce
0460501011309	beer
0460501011309	milk
0460501011347	milk
0460501011347	frozen vegetables
0460501011347	milk
0460501011347	pasta
0460501011347	pasta
0460501012450	water
0460501012450	tomato souce
0460501012450	pasta
0460501012986	yoghurt
0460501012986	milk
0460501012986	pasta
0460501014058	frozen vegetables
0460501014058	milk
0460501014058	biscuits
0460501014140	water
0460501014140	frozen vegetables
0460501014140	pasta
0460501014140	biscuits
0460501014584	rice
0460501014584	tunny
0460501014584	tunny
0460501014584	pasta
0460501014584	pasta
0460501014584	pasta
0460501014584	pasta
0460501014850	pasta
0460501014850	pasta
0460501014850	milk
0460501016724	milk
0460501016724	coffee
0460501016724	pasta
0460501017035	yoghurt
0460501017035	yoghurt
0460501017035	yoghurt
0460501017035	juices
0460501017073	yoghurt
0460501017073	milk
0460501017158	water
0460501017158	biscuits
0460501017158	milk
0460501017158	biscuits
0460501017158	brioches
0460501017547	tomato souce
0460501017547	coke
0460501017547	pasta
0460501017547	pasta
0460501017547	pasta
0460501017547	pasta
0460501017547	water
0460501017547	pasta
0460501017653	frozen vegetables
0460501017653	pasta
0460501017653	tomato souce
0460501017653	pasta
0460501017806	yoghurt
0460501017806	brioches
0460501017806	frozen vegetables
0460501017806	pasta
0460501017950	frozen fish
0460501017950	milk
0460501017950	coffee
0460501018544	juices
0460501018544	juices
0460501018544	coke
0460501018544	water
0460501018544	milk
0460501018544	brioches
0460501018544	pasta
0460501018544	milk
0460501018544	water
0460501018902	milk
0460501018902	milk
0460501018902	tunny
0460501018902	biscuits
0460501019305	coke
0460501019978	pasta
0460501020455	coffee
0460501020660	water
0460501020660	water
0460501021018	water
0460501021018	rice
0460501021018	milk
0460501021018	pasta
0460501021018	tomato souce
0460501021087	pasta
0460501021230	yoghurt
0460501021230	milk
0460501021612	milk
0460501021612	yoghurt
0460501021872	brioches
0460501022107	coke
0460501022107	coffee
0460501022107	frozen vegetables
0460501022107	milk
0460501022107	milk
0460501022107	coffee
0460501022107	juices
0460501023661	pasta
0460501023661	biscuits
0460501025276	milk
0460501027430	water
0460501027775	tomato souce
0460501027775	milk
0460501031802	milk
0460501033424	milk
0460501033424	yoghurt
0460501033967	milk
0460501033967	coke
0460501033967	milk
0460501033967	beer
0460501038917	milk
0460501038917	brioches
0460501041368	water
0460501041368	milk
0460501041368	milk
0460501041368	pasta
0460501041368	pasta
0460501044802	milk
0460501045106	milk
0460501046219	milk
0460501046219	frozen vegetables
0460501046219	pasta
0460501046219	pasta
0460501046219	pasta
0460501046219	pasta
0460501046219	pasta
0460501046950	milk
0460501046950	pasta
0460501046950	pasta
0460501046950	pasta
0460501047599	tomato souce
0460501047599	milk
0460501047940	brioches
0460501047940	milk
0460501049494	pasta
0460501049494	pasta
0460501049494	pasta
0460501049494	pasta
0460501049494	pasta
0460501050155	milk
0460501050155	milk
0460501050155	beer
0460501050155	biscuits
0460501050155	biscuits
0460501053163	milk
0460501053163	coffee
0460501053682	milk
0460501053682	coffee
0460501053682	beer
0460501053682	mozzarella
0460501057086	frozen vegetables
0460501057086	tomato souce
0460501058335	frozen vegetables
0460501058335	biscuits
0460501058427	water
0460501058427	milk
0460501058427	milk
0460501059417	water
0460501062035	yoghurt
0460501063049	water
0460501063049	coke
0460501063049	milk
0460501063049	biscuits
0460501063049	pasta
0460501064282	rice
0460501064282	tomato souce
0460501064282	tomato souce
0460501064282	water
0460501064282	biscuits
0460501064299	water
0460501064299	water
0460501064299	beer
0460501064299	beer
0460501064817	yoghurt
0460501064817	milk
0460501064817	tunny
0460501064817	brioches
0460501064817	pasta
0460501064817	pasta
0460501066743	brioches
0460501066743	milk
0460501066743	milk
0460501072539	yoghurt
0460501072539	yoghurt
0460501073277	milk
0460501073277	yoghurt
0460501074502	water
0460501074502	water
0460501074502	milk
0460501074502	beer
0460501074502	water
0460501076278	milk
0460501076278	biscuits
0460501077213	pasta
0460501077213	pasta
0460501077619	yoghurt
0460501079330	juices
0460501079330	yoghurt
0460501079330	coffee
0460501079330	pasta
0460501079330	pasta
0460501079446	pasta
0460501079446	milk
0460501080367	water
0460501080367	biscuits
0460501080367	milk
0460501080367	milk
0460501080367	coffee
0460501080367	biscuits
0460501080954	water
0460501080954	milk
0460501080954	rice
0460501081708	pasta
0460501081821	water
0460501081821	milk
0460501081821	biscuits
0460501082613	milk
0460501082934	coke
0460501082934	milk
0460501082934	beer
0460501082934	pasta
0460501085324	coke
0460501085324	tomato souce
0460501085324	tomato souce
0460501085324	water
0460501085324	pasta
0460501085324	pasta
0460501085324	pasta
0460501085706	frozen vegetables
0460501085706	frozen vegetables
0460501085706	pasta
0460501086604	pasta
0460501086833	milk
0460501086833	pasta
0460501088271	juices
0460501088271	milk
0460501088271	coffee
0460501088271	juices
0460501090250	pasta
0460501090670	juices
0460501091004	juices
0460501091004	biscuits
0460501092988	milk
0460501094203	pasta
0460501094753	brioches
0460501096238	yoghurt
0460501097181	milk
0460501097181	coffee
0460501097181	pasta
0460501097181	pasta
0460501097181	beer
0460501097297	yoghurt
0460501097297	yoghurt
0460501097297	tomato souce
0460501097297	biscuits
0460501097969	biscuits
0460501099543	pasta
0460501099543	pasta
0460501099543	pasta
0460501099543	pasta
0460505006592	frozen vegetables
0460505006592	biscuits
0460508007053	yoghurt
0460508007053	tunny
0460522010350	water
0460522010350	milk
0460526000562	water
0460526000562	milk
0460526005796	pasta
0460526005796	milk
0460526006519	biscuits
0460526006519	pasta
0460526006519	yoghurt
0460526007868	water
0460526018765	water
0460526019496	tomato souce
0460526019496	rice
0460538002752	rice
0460538002752	pasta
0460539005745	coke
0460539005745	rice
0460539005745	coffee
0460539005745	pasta
0460539005745	pasta
0460539005745	water
0460539005745	pasta
0460539005745	pasta
0460202001647	coffee
0460202025780	coffee
0460501000136	water
0460501000136	water
0460501000136	milk
0460501000136	coffee
0460501000136	pasta
0460501000136	pasta
0460501000136	biscuits
0460501000136	beer
0460501000136	water
0460501000303	coke
0460501000303	coke
0460501000303	water
0460501000303	biscuits
0460501000457	milk
0460501000457	frozen fish
0460501000723	water
0460501000723	milk
0460501000723	biscuits
0460501000723	coffee
0460501000808	milk
0460501000969	milk
0460501001362	milk
0460501001362	biscuits
0460501001362	frozen vegetables
0460501001362	frozen fish
0460501001362	yoghurt
0460501001638	coke
0460501001638	coffee
0460501001638	beer
0460501001744	milk
0460501001744	yoghurt
0460501001966	milk
0460501001966	coffee
0460501002116	water
0460501002116	yoghurt
0460501002116	pasta
0460501002192	frozen vegetables
0460501002192	milk
0460501002192	milk
0460501002192	milk
0460501002192	tunny
0460501002192	pasta
0460501002192	pasta
0460501002192	pasta
0460501002192	pasta
0460501002192	yoghurt
0460501002192	water
0460501002499	pasta
0460501002499	pasta
0460501002697	juices
0460501002697	rice
0460501002727	frozen vegetables
0460501002727	beer
0460501003052	milk
0460501003052	milk
0460501003052	biscuits
0460501003113	tunny
0460501003113	milk
0460501003311	milk
0460501003311	milk
0460501003311	water
0460501003427	water
0460501003489	water
0460501003533	yoghurt
0460501003533	water
0460501003533	beer
0460501003533	pasta
0460501004080	yoghurt
0460501004080	brioches
0460501004141	water
0460501004141	water
0460501004141	pasta
0460501004141	milk
0460501004233	water
0460501004639	water
0460501005148	water
0460501005148	milk
0460501005148	water
0460501005148	beer
0460501005469	milk
0460501005469	coffee
0460501005469	pasta
0460501005469	pasta
0460501005469	beer
0460501005476	milk
0460501005759	water
0460501005759	yoghurt
0460501005759	yoghurt
0460501005759	milk
0460501005759	biscuits
0460501005797	pasta
0460501005797	milk
0460501005940	milk
0460501006183	milk
0460501006268	pasta
0460501006268	pasta
0460501006459	tomato souce
0460501006459	tunny
0460501006459	coffee
0460501006459	pasta
0460501006459	milk
0460501006879	milk
0460501007425	water
0460501007425	juices
0460501007425	milk
0460501007425	biscuits
0460501007425	pasta
0460501007425	tomato souce
0460501007425	water
0460501007913	biscuits
0460501007913	milk
0460501007913	juices
0460501007913	tomato souce
0460501007913	juices
0460501008309	yoghurt
0460501008521	water
0460501008521	milk
0460501008521	water
0460501008521	pasta
0460501008521	tomato souce
0460501008521	beer
0460501009122	milk
0460501009122	milk
0460501009870	pasta
0460501010609	milk
0460501010609	pasta
0460501011248	coke
0460501011248	biscuits
0460501012566	milk
0460501012566	tunny
0460501012566	pasta
0460501012566	biscuits
0460501012566	biscuits
0460501012764	yoghurt
0460501012764	water
0460501012986	milk
0460501012986	pasta
0460501012986	water
0460501012986	biscuits
0460501013228	frozen fish
0460501013228	frozen vegetables
0460501013228	frozen vegetables
0460501013228	beer
0460501013228	pasta
0460501013228	biscuits
0460501014157	milk
0460501014157	frozen vegetables
0460501014195	pasta
0460501014195	pasta
0460501014560	milk
0460501014577	oil
0460501014577	rice
0460501014577	juices
0460501014850	rice
0460501014850	milk
0460501014874	pasta
0460501014935	rice
0460501014935	milk
0460501014935	pasta
0460501014935	pasta
0460501014935	pasta
0460501014935	pasta
0460501014935	pasta
0460501014935	pasta
0460501014935	pasta
0460501015901	water
0460501015901	coke
0460501015901	tunny
0460501015901	pasta
0460501015901	pasta
0460501015901	pasta
0460501016557	biscuits
0460501016557	biscuits
0460501016557	milk
0460501017028	frozen vegetables
0460501017653	pasta
0460501017653	tomato souce
0460501017653	milk
0460501017653	brioches
0460501017653	pasta
0460501018179	milk
0460501018179	coffee
0460501018179	coffee
0460501018520	biscuits
0460501018520	biscuits
0460501018520	frozen vegetables
0460501018520	coffee
0460501018520	beer
0460501019039	rice
0460501019039	milk
0460501019039	tomato souce
0460501019039	pasta
0460501019114	milk
0460501019114	tomato souce
0460501019862	frozen vegetables
0460501020271	water
0460501021216	yoghurt
0460501021216	milk
0460501021216	milk
0460501021216	pasta
0460501021230	tomato souce
0460501021230	milk
0460501021230	pasta
0460501021568	water
0460501021568	coke
0460501021568	pasta
0460501021964	milk
0460501021964	brioches
0460501021964	milk
0460501021964	crackers
0460501022244	milk
0460501022565	coke
0460501022565	milk
0460501022862	frozen vegetables
0460501023098	frozen vegetables
0460501023852	frozen fish
0460501023852	frozen vegetables
0460501023852	water
0460501026129	biscuits
0460501026129	milk
0460501026129	milk
0460501026129	tunny
0460501026129	brioches
0460501026716	pasta
0460501026716	pasta
0460501026716	pasta
0460501027188	milk
0460501027225	milk
0460501027225	tomato souce
0460501027300	water
0460501027300	milk
0460501027300	juices
0460501027300	brioches
0460501027300	coffee
0460501027300	pasta
0460501027355	water
0460501028055	milk
0460501028451	milk
0460501028451	pasta
0460501028451	pasta
0460501028451	pasta
0460501028451	pasta
0460501028451	pasta
0460501028451	pasta
0460501028451	rice
0460501028451	water
0460501028499	milk
0460501028499	pasta
0460501028499	coffee
0460501028499	pasta
0460501028499	pasta
0460501029182	oil
0460501029816	frozen vegetables
0460501029816	milk
0460501029816	frozen vegetables
0460501029816	frozen vegetables
0460501029816	frozen vegetables
0460501029816	frozen vegetables
0460501029816	biscuits
0460501032700	yoghurt
0460501032700	frozen vegetables
0460501032700	juices
0460501032700	brioches
0460501033554	milk
0460501033554	milk
0460501033554	biscuits
0460501033554	biscuits
0460501033554	biscuits
0460501033554	biscuits
0460501035473	frozen vegetables
0460501035473	pasta
0460501035473	pasta
0460501035473	milk
0460501035695	water
0460501035695	juices
0460501035695	juices
0460501035695	yoghurt
0460501035695	yoghurt
0460501035695	yoghurt
0460501035695	frozen fish
0460501035695	frozen vegetables
0460501035695	frozen vegetables
0460501035695	frozen fish
0460501035695	coffee
0460501035695	milk
0460501035695	tunny
0460501038061	frozen vegetables
0460501038061	biscuits
0460501038207	tunny
0460501038207	pasta
0460501039082	crackers
0460501039082	brioches
0460501039082	tunny
0460501039082	pasta
0460501040286	milk
0460501040286	pasta
0460501040378	yoghurt
0460501040378	milk
0460501040491	pasta
0460501040491	pasta
0460501040491	biscuits
0460501040507	frozen fish
0460501040507	frozen vegetables
0460501040507	milk
0460501040507	frozen vegetables
0460501042389	milk
0460501046066	yoghurt
0460501046066	yoghurt
0460501047698	water
0460501047698	tunny
0460501047698	rice
0460501047698	milk
0460501047698	tunny
0460501048305	milk
0460501048411	water
0460501048411	milk
0460501048411	water
0460501050094	biscuits
0460501050094	milk
0460501050094	biscuits
0460501050650	coke
0460501050650	tomato souce
0460501051732	milk
0460501052029	ice cream
0460501052029	biscuits
0460501052593	milk
0460501052593	tomato souce
0460501052593	water
0460501053514	pasta
0460501053514	pasta
0460501053972	frozen vegetables
0460501053972	milk
0460501053972	milk
0460501053972	pasta
0460501054351	milk
0460501056089	frozen vegetables
0460501056089	coffee
0460501056607	yoghurt
0460501057178	water
0460501057178	water
0460501057178	frozen vegetables
0460501057178	milk
0460501057178	milk
0460501057178	juices
0460501057178	juices
0460501057949	coffee
0460501057949	brioches
0460501058458	coke
0460501058458	milk
0460501058458	coffee
0460501058458	pasta
0460501058458	pasta
0460501058458	pasta
0460501058458	pasta
0460501058663	milk
0460501059264	water
0460501059264	milk
0460501059264	milk
0460501059264	pasta
0460501059264	pasta
0460501059264	pasta
0460501059264	juices
0460501060161	brioches
0460501062288	juices
0460501062288	juices
0460501062288	juices
0460501062288	juices
0460501062288	frozen vegetables
0460501062288	frozen fish
0460501062288	tunny
0460501062288	milk
0460501063223	pasta
0460501065579	milk
0460501065579	pasta
0460501065579	coke
0460501065579	beer
0460501066835	pasta
0460501066835	coffee
0460501066835	milk
0460501066835	biscuits
0460501067108	tomato souce
0460501067108	yoghurt
0460501067108	milk
0460501067740	milk
0460501067740	brioches
0460501067740	coffee
0460501067771	water
0460501068396	milk
0460501068433	yoghurt
0460501069393	tunny
0460501069393	milk
0460501069393	milk
0460501069393	pasta
0460501069393	tomato souce
0460501069478	milk
0460501069478	coffee
0460501070207	water
0460501070207	mozzarella
0460501071235	brioches
0460501071235	biscuits
0460501071440	frozen vegetables
0460501071440	milk
0460501075219	frozen vegetables
0460501075219	pasta
0460501075219	pasta
0460501076100	milk
0460501076100	coffee
0460501076100	pasta
0460501076674	milk
0460501076674	milk
0460501076674	milk
0460501079590	milk
0460501079644	pasta
0460501079644	biscuits
0460501080954	pasta
0460501081982	milk
0460501081982	coffee
0460501081982	pasta
0460501081982	pasta
0460501081982	biscuits
0460501082644	pasta
0460501082644	tomato souce
0460501082644	pasta
0460501084068	juices
0460501084174	coffee
0460501085409	tunny
0460501085409	brioches
0460501085409	milk
0460501085409	biscuits
0460501085621	biscuits
0460501086383	milk
0460501087588	coke
0460501087588	milk
0460501087588	coffee
0460501087588	pasta
0460501087908	rice
0460501087908	coffee
0460501087908	pasta
0460501087908	pasta
0460501087908	pasta
0460501087908	pasta
0460501087908	beer
0460501087908	biscuits
0460501088080	milk
0460501089094	pasta
0460501089094	milk
0460501089445	brioches
0460501089995	frozen vegetables
0460501089995	coke
0460501089995	milk
0460501089995	water
0460501091264	pasta
0460501091264	water
0460501091370	tomato souce
0460501091370	rice
0460501091370	milk
0460501091370	tunny
0460501091370	pasta
